Shaelmaar dust|Sharley dust
Basilisk mutagen|Basilisk mutagen
Wyvern egg|Wyvern egg
Gargoyle heart|Gargoyle heart
Wyvern hide|Wyvern plate
Werewolf mutagen|Werewolf mutagen
Essence of wraith|Wraith essence
Nekker warrior mutagen|Nekker Warrior mutagen
Balisse fruit|Balisse fruit
Drowner tongue|Drowned dead tongue
Drowner brain|Drowner brain
Leshen mutagen|Leshy mutagen
Mandrake root|Mandrake root
White Gull|White Gull 1
Elemental essence|Elemental essence
Manticore poison gland|q401_trial_key_ingredient_b
Mistletoe|Mistletoe
Endrega embryo|Endriag embryo
Stammelford's Dust|Stammelfords dust
Fiend's eye|Fiend eye
Phosphorus|Phosphorus
Forktail spinal fluid|q401_trial_key_ingredient_a
Alchemists' powder|Alchemists powder
Albino bruxa tongue|q401_trial_key_ingredient_c
Greater red mutagen|Greater mutagen red
Greater green mutagen|Greater mutagen green
Greater blue mutagen|Greater mutagen blue
Allspice|Allspice root
Cherry cordial|Cherry Cordial
Ghoul's blood|Ghoul blood
Moleyarrow|Moleyarrow
Beggartick blossoms|Beggartick blossoms
Alghoul claw|Alghoul claw
Bison grass|Bison Grass
Katakan mutagen|Katakan mutagen
Verbena|Verbena
Arenaria|Arenaria
Longrube|Longrube
Nilfgaardian lemon|Free nilfgaardian lemon
Arachas mutagen|Arachas mutagen
White myrtle petals|White myrtle
Han fiber|Han
Nostrix|Nostrix
Cockatrice mutagen|Cockatrice mutagen
Golem's heart|Golem heart
Pringrape|Pringrape
Archgriffin mutagen|Volcanic Gryphon mutagen
Ribleaf|Ribleaf
Mandrake cordial|Mandrake cordial
Alchemy paste|Alchemical paste
Vitriol|Vitriol
Ergot seeds|Ergot seeds
Griffin's egg|Gryphon egg
Dog tallow|Dog tallow
Wolf's liver|Wolf liver
Celandine|Celandine
Red mutagen|Mutagen red
Green mutagen|Mutagen green
Blue mutagen|Mutagen blue
Wolfsbane|Wolfsbane
Grave hag's ear|Grave Hag ear
Honeysuckle|Honeysuckle
Fool's parsley leaves|Fools parsley leaves
Griffin feathers|Gryphon feathers
Water hag mutagen|Water Hag mutagen
Basilisk hide|Basilisk plate
Alcohest|Alcohest
Nilfgaardian lemon|Nilfgaardian Lemon
Dwarven spirit|Dwarven spirit
Bloodmoss|Bloodmoss
Berbercane fruit|Berbercane fruit
Hellebore petals|Hellebore petals
Cortinarius|Cortinarius
Saltpeter|Saltpetre
Calcium equum|Calcium equum
Green mold|Green mold
Blowball|Blowbill
Nigredo|Nigredo
Albedo|Albedo
Rubedo|Rubedo
Rebis|Rebis
Lunar shards|Lunar shards
Quicksilver solution|Quicksilver solution
Aether|Aether
Optima mater|Optima mater
Fifth Essence|Fifth essence
Crow's eye|Crows eye
Bear fat|Bear fat
Monstrous fang|Hag teeth
Mahakaman spirit|Mahakam Spirit
Harpy feathers|Harpy feathers
Redanian herbal|Redanian Herbal
Puffball|Pigskin puffball
Lock of lamia hair|Lamia lock of hair
Giant centipede discharge|Centipede discharge
Archespore juice|Archespore juice
Kikimore discharge|Kikimore discharge
Temerian rye|Temerian Rye
Vampire blood|Vampire blood
Protofleder mutagen|Protofleder Mutagen
