Superior Ursine armor|NGP Bear Armor 2
Toussaint boots|Toussaint Boots 2
Toussaint gauntlets|Toussaint Gloves 2
Toussaint trousers|Toussaint Pants 2
Toussaint armor|Toussaint Armor 3
Toussaint boots|Toussaint Boots 3
Toussaint gauntlets|Toussaint Gloves 3
Toussaint trousers|Toussaint Pants 3
Sir Geralt of Rivia's armor|sq701_geralt_armor
Ravix of Fourhorn's armor|sq701_ravix_armor
Hen Gaidth boots|q704_vampire_boots
Nilfgaardian guardsman armor|Heavy armor 03_crafted
Guardsman's boots|Heavy boots 02
Nilfgaardian guardsman armor|Heavy armor 03r
Nilfgaardian guardsman armor|sq108_heavy_armor
Enhanced legendary Ursine gauntlets|Bear Gloves 2
Executioner's boots|Heavy boots 04
Order of the Flaming Rose gauntlets|Burning Rose Gloves
Wild Hunt warrior's trousers|Wild Hunt pants 01
Nilfgaardian guardsman's gauntlets|Heavy gloves 04
Mag Deira cuirass|Heavy armor 01r
Toussaint knight's gauntlets|sq701_geralt_gloves
Ban Ard breastplate|Heavy armor 02r
Toussaint knight's armor|NGP Knight Geralt Armor 3
Toussaint knight's tourney armor|NGP Knight Geralt A Armor 3
Tesham Mutna armor|NGP q702_vampire_armor
Toussaint knight's boots|sq701_geralt_boots
Hindarsfjall heavy armor|Heavy armor 04r
Mahakaman heavy armor|Heavy armor 05r
Order of the Flaming Rose gauntlets|Burning Rose Gloves B
Undvik Armor|NGP DLC14 Skellige Armor
Undvik Gauntlets|NGP DLC14 Skellige Gloves
Zireael armor|Zireael armor
Great Sun armor|Shadaal armor
Undvik Trousers|NGP DLC14 Skellige Pants
Impera Brigade armor|Relic Heavy 3 armor
Undvik Boots|NGP DLC14 Skellige Boots
Campaigner's boots|Heavy boots 05
Captain's boots|Heavy boots 06
Toussaint knight's gauntlets|NGP Knight Geralt Gloves 3
Alder Folk boots|Heavy boots 08
Toussaint knight's tourney gauntlets|NGP Knight Geralt A Gloves 3
Tesham Mutna gauntlets|NGP q702_vampire_gloves
Hen Gaidth gauntlets|q704_vampire_gloves
Ursine armor|NGP Bear Armor
Undvik Boots|DLC14 Skellige Boots
Enhanced Ursine armor|NGP Bear Armor 1
Legendary Ursine trousers|Bear Pants 1
