Formula: Aether|Recipe for Aether
Formula: Vitriol|Recipe for Vitriol
Formula: Rubedo|Recipe for Rubedo
Formula: Rebis|Recipe for Rebis
Manuscript page: Superior vampire oil|Recipe for Vampire Oil 3
Manuscript page: Ogroid oil|Recipe for Ogre Oil 1
Manuscript page: Enhanced Petri's Philter|Recipe for Petris Philtre 2
Formula: Nigredo|Recipe for Nigredo
Formula: Reinald's Philter|Recipe for Signs Enhancement
Manuscript page: Superior Maribor Forest|Recipe for Maribor Forest 3
Manuscript page: Enhanced ogroid oil|Recipe for Ogre Oil 2
Manuscript page: Superior ogroid oil|Recipe for Ogre Oil 3
Manuscript page: Superior Petri's Philter|Recipe for Petris Philtre 3
Manuscript page: Relict oil|Recipe for Relic Oil 1
Manuscript page: Enhanced relict oil|Recipe for Relic Oil 2
Manuscript page: Pops' mold antidote|Recipe for Pops Antidote
Manuscript page: Superior relict oil|Recipe for Relic Oil 3
Manuscript page: Dancing Star|Recipe for Dancing Star 1
Torn-out page: Katakan decoction|Recipe for Mutagen 1
Torn-out page: Arachas decoction|Recipe for Mutagen 2
Torn-out page: Cockatrice decoction|Recipe for Mutagen 3
Torn-out page: Archgriffin decoction|Recipe for Mutagen 4
Torn-out page: Water hag decoction|Recipe for Mutagen 5
Manuscript page: Enhanced Dancing Star|Recipe for Dancing Star 2
Manuscript page: Swallow|Recipe for Swallow 1
Manuscript page: Superior Dancing Star|Recipe for Dancing Star 3
Manuscript page: Devil's Puffball|Recipe for Devils Puffball 1
Manuscript page: Enhanced Swallow|Recipe for Swallow 2
Manuscript page: Enhanced Devil's Puffball|Recipe for Devils Puffball 2
Manuscript page: Superior Devil's Puffball|Recipe for Devils Puffball 3
Manuscript page: Superior Swallow|Recipe for Swallow 3
Manuscript page: Tawny Owl|Recipe for Tawny Owl 1
Manuscript page: Dragon's Dream|Recipe for Dragons Dream 1
Manuscript page: Enhanced Tawny Owl|Recipe for Tawny Owl 2
Manuscript page: Enhanced Dragon's Dream|Recipe for Dragons Dream 2
Manuscript page: Superior Dragon's Dream|Recipe for Dragons Dream 3
Manuscript page: Superior Tawny Owl|Recipe for Tawny Owl 3
Manuscript page: Grapeshot|Recipe for Grapeshot 1
Manuscript page: Enhanced Grapeshot|Recipe for Grapeshot 2
Manuscript page: Enhanced Thunderbolt|Recipe for Thunderbolt 2
Manuscript page: Superior Grapeshot|Recipe for Grapeshot 3
Manuscript page: Samum|Recipe for Samum 1
Manuscript page: Superior Thunderbolt|Recipe for Thunderbolt 3
Manuscript page: Enhanced Samum|Recipe for Samum 2
Torn-out page: Nightwraith decoction|Recipe for Mutagen 6
Torn-out page: Ekimmara decoction|Recipe for Mutagen 7
Torn-out page: Chort decoction|Recipe for Mutagen 8
Torn-out page: Foglet decoction|Recipe for Mutagen 9
Torn-out page: Wyvern decoction|Recipe for Mutagen 10
Manuscript page: Superior Samum|Recipe for Samum 3
Torn-out page: Doppler decoction|Recipe for Mutagen 11
Torn-out page: Troll decoction|Recipe for Mutagen 12
Manuscript page: Moon Dust|Recipe for Silver Dust Bomb 1
Torn-out page: Noonwraith decoction|Recipe for Mutagen 13
Torn-out page: Succubus decoction|Recipe for Mutagen 14
Manuscript page: Enhanced Moon Dust|Recipe for Silver Dust Bomb 2
Torn-out page: Alghoul decoction|Recipe for Mutagen 15
Torn-out page: Fiend decoction|Recipe for Mutagen 16
Manuscript page: Superior Moon Dust|Recipe for Silver Dust Bomb 3
Torn-out page: Forktail decoction|Recipe for Mutagen 17
Manuscript page: White Gull|Recipe for White Gull 1
Torn-out page: Grave hag decoction|Recipe for Mutagen 18
Manuscript page: Northern Wind|Recipe for White Frost 1
Torn-out page: Wraith decoction|Recipe for Mutagen 19
Torn-out page: Earth elemental decoction|Recipe for Mutagen 20
Manuscript page: Black Blood|Recipe for Black Blood 1
Torn-out page: Ekhidna decoction|Recipe for Mutagen 21
Manuscript page: White Honey|Recipe for White Honey 1
Torn-out page: Ancient leshen decoction|Recipe for Mutagen 22
Manuscript page: Enhanced Black Blood|Recipe for Black Blood 2
Torn-out page: Basilisk decoction|Recipe for Mutagen 23
Torn-out page: Werewolf decoction|Recipe for Mutagen 24
Manuscript page: Superior Black Blood|Recipe for Black Blood 3
Torn-out page: Nekker warrior decoction|Recipe for Mutagen 25
Manuscript page: Enhanced White Honey|Recipe for White Honey 2
Torn-out page: Leshen decoction|Recipe for Mutagen 26
Torn-out page: Griffin decoction|Recipe for Mutagen 27
Manuscript page: Blizzard|Recipe for Blizzard 1
Torn-out page: Reliever's decoction|Recipe for Mutagen 28
Formula: Lesser mutagen transmutator - red to blue|Recipe Lesser Mutagen Red to Blue
Manuscript page: Enhanced Blizzard|Recipe for Blizzard 2
Formula: Lesser mutagen transmutator - red to green|Recipe Lesser Mutagen Red to Green
Manuscript page: Superior White Honey|Recipe for White Honey 3
Formula: Lesser mutagen transmutator - blue to red|Recipe Lesser Mutagen Blue to Red
Manuscript page: Superior Blizzard|Recipe for Blizzard 3
Formula: Lesser mutagen transmutator - blue to green|Recipe Lesser Mutagen Blue to Green
Formula: Lesser mutagen transmutator - green to red|Recipe Lesser Mutagen Green to Red
Manuscript page: Cat|Recipe for Cat 1
Formula: Lesser mutagen transmutator - green to blue|Recipe Lesser Mutagen Green to Blue
Formula: Mutagen transmutator - red to blue|Recipe Mutagen Red to Blue
Manuscript page: Enhanced Cat|Recipe for Cat 2
Formula: Mutagen transmutator - red to green|Recipe Mutagen Red to Green
Formula: Mutagen transmutator - blue to red|Recipe Mutagen Blue to Red
Manuscript page: Superior Cat|Recipe for Cat 3
Formula: Mutagen transmutator - blue to green|Recipe Mutagen Blue to Green
Formula: Mutagen transmutator - green to red|Recipe Mutagen Green to Red
Manuscript page: Chort lure|Recipe for Czart Lure
Formula: Mutagen transmutator - green to blue|Recipe Mutagen Green to Blue
Manuscript page: Dwarven spirit|Recipe for Dwarven spirit 1
Formula: Greater mutagen transmutator - red to blue|Recipe Greater Mutagen Red to Blue
Formula: Greater mutagen transmutator - red to green|Recipe Greater Mutagen Red to Green
Manuscript page: Enhanced Northern Wind|Recipe for White Frost 2
Manuscript page: Dimeritium bomb|Recipe for Dwimeritium Bomb 1
Manuscript page: Enhanced dimeritium bomb|Recipe for Dwimeritium Bomb 2
Manuscript page: Superior dimeritium bomb|Recipe for Dwimeritium Bomb 3
Manuscript page: Bear pheromones|Recipe for Bear Pheromone Potion 1
Formula: Greater mutagen transmutator - blue to red|Recipe Greater Mutagen Blue to Red
Manuscript page: Enhanced draconid oil|Recipe for Draconide Oil 2
Formula: Greater mutagen transmutator - blue to green|Recipe Greater Mutagen Blue to Green
Manuscript page: Drowner pheromones|Recipe for Drowner Pheromone Potion 1
Formula: Greater mutagen transmutator - green to red|Recipe Greater Mutagen Green to Red
Manuscript page: Alcohest|Recipe for Alcohest 1
Formula: Turquoise armor dye|Recipe Dye Turquoise
Formula: Shaelmaar bait|Recipe for Sharley Lure
Formula: Greater mutagen transmutator - green to blue|Recipe Greater Mutagen Green to Blue
Manuscript page: Nekker pheromones|Recipe for Nekker Pheromone Potion 1
Manuscript page: Superior Northern Wind|Recipe for White Frost 3
Manuscript page: Beast oil|Recipe for Beast Oil 1
Manuscript page: Enhanced beast oil|Recipe for Beast Oil 2
Manuscript page: Full Moon|Recipe for Full Moon 1
Manuscript page: Superior beast oil|Recipe for Beast Oil 3
Manuscript page: Superior draconid oil|Recipe for Draconide Oil 3
