Mountain Folk boots|Boots 7 schematic
Tracker's gauntlets|Gloves 3 schematic
The Digger|Gnomish silver sword 1 schematic
Assassin's gauntlets|Gloves 4 schematic
Faustino|Gnomish silver sword 2 schematic
Axeman's gauntlets|Heavy Gloves 1 schematic
Knight's gauntlets|Heavy Gloves 2 schematic
Assault gauntlets|Heavy Gloves 3 schematic
Nilfgaardian guardsman's gauntlets|Heavy Gloves 4 schematic
Feline armor|Lynx Armor schematic
Griffin armor|Gryphon Armor schematic
Ursine armor|Bear Armor schematic
Wolven armor|Wolf Armor schematic
Enhanced Ursine armor|Witcher Bear Jacket Upgrade schematic 1
Superior Ursine armor|Witcher Bear Jacket Upgrade schematic 2
Mastercrafted Ursine armor|Witcher Bear Jacket Upgrade schematic 3
Enhanced Ursine boots|Witcher Bear Boots Upgrade schematic 1
Enhanced Ursine trousers|Witcher Bear Pants Upgrade schematic 1
Enhanced Ursine gauntlets|Witcher Bear Gloves Upgrade schematic 1
Ursine steel sword - enhanced|Bear School steel sword Upgrade schematic 1
Ursine steel sword - superior|Bear School steel sword Upgrade schematic 2
Ursine steel sword - mastercrafted|Bear School steel sword Upgrade schematic 3
Ursine silver sword - enhanced|Bear School silver sword Upgrade schematic 1
Ursine silver sword - superior|Bear School silver sword Upgrade schematic 2
Ursine silver sword - mastercrafted|Bear School silver sword Upgrade schematic 3
Enhanced Griffin armor|Witcher Gryphon Jacket Upgrade schematic 1
Superior Griffin armor|Witcher Gryphon Jacket Upgrade schematic 2
Mastercrafted Griffin armor|Witcher Gryphon Jacket Upgrade schematic 3
Enhanced Griffin boots|Witcher Gryphon Boots Upgrade schematic 1
Enhanced Griffin trousers|Witcher Gryphon Pants Upgrade schematic 1
Enhanced Griffin gauntlets|Witcher Gryphon Gloves Upgrade schematic 1
Griffin steel sword - enhanced|Gryphon School steel sword Upgrade schematic 1
Griffin steel sword - superior|Gryphon School steel sword Upgrade schematic 2
Griffin steel sword - mastercrafted|Gryphon School steel sword Upgrade schematic 3
Griffin silver sword - enhanced|Gryphon School silver sword Upgrade schematic 1
Griffin silver sword - superior|Gryphon School silver sword Upgrade schematic 2
Griffin silver sword - mastercrafted|Gryphon School silver sword Upgrade schematic 3
Enhanced Wolven armor|Witcher Wolf Jacket Upgrade schematic 1
Superior Wolven armor|Witcher Wolf Jacket Upgrade schematic 2
Ofieri saber|Crafted Ofir Steel Sword schematic
Mastercrafted Wolven armor|Witcher Wolf Jacket Upgrade schematic 3
Enhanced Wolven boots|Witcher Wolf Boots Upgrade schematic 1
Enhanced Wolven trousers|Witcher Wolf Pants Upgrade schematic 1
Enhanced Wolven gauntlets|Witcher Wolf Gloves Upgrade schematic 1
Wolven steel sword - enhanced|Wolf School steel sword Upgrade schematic 1
Wolven steel sword - superior|Wolf School steel sword Upgrade schematic 2
Wolven steel sword - mastercrafted|Wolf School steel sword Upgrade schematic 3
Wolven silver sword - enhanced|Wolf School silver sword Upgrade schematic 1
Wolven silver sword - superior|Wolf School silver sword Upgrade schematic 2
Wolven silver sword - mastercrafted|Wolf School silver sword Upgrade schematic 3
Enhanced Feline armor|Witcher Lynx Jacket Upgrade schematic 1
Superior Feline armor|Witcher Lynx Jacket Upgrade schematic 2
Mastercrafted Feline armor|Witcher Lynx Jacket Upgrade schematic 3
Enhanced Feline boots|Witcher Lynx Boots Upgrade schematic 1
Enhanced Feline trousers|Witcher Lynx Pants Upgrade schematic 1
Enhanced Feline gauntlets|Witcher Lynx Gloves Upgrade schematic 1
Feline steel sword - enhanced|Lynx School steel sword Upgrade schematic 1
Feline steel sword - superior|Lynx School steel sword Upgrade schematic 2
Feline steel sword - mastercrafted|Lynx School steel sword Upgrade schematic 3
Feline silver sword - superior|Lynx School silver sword Upgrade schematic 2
Feline silver sword - mastercrafted|Lynx School silver sword Upgrade schematic 3
Steel ingot|Steel ingot schematic
Dark iron ingot|Dark iron ingot schematic
Meteorite ingot|Meteorite ingot schematic
Dimeritium ingot|Dwimeryte ingot schematic
Steel plate|Steel plate schematic
Lesser Stribog runestone|Rune stribog lesser schematic
Stribog runestone|Rune stribog schematic
Greater Stribog runestone|Rune stribog greater schematic
Lesser Dazhbog runestone|Rune dazhbog lesser schematic
Dazhbog runestone|Rune dazhbog schematic
Greater Dazhbog runestone|Rune dazhbog greater schematic
Lesser Devana runestone|Rune devana lesser schematic
Devana runestone|Rune devana schematic
Greater Devana runestone|Rune devana greater schematic
Lesser Zoria runestone|Rune zoria lesser schematic
Zoria runestone|Rune zoria schematic
Greater Zoria runestone|Rune zoria greater schematic
Lesser Morana runestone|Rune morana lesser schematic
Morana runestone|Rune morana schematic
Greater Morana runestone|Rune morana greater schematic
Lesser Triglav runestone|Rune triglav lesser schematic
Triglav runestone|Rune triglav schematic
Greater Triglav runestone|Rune triglav greater schematic
Lesser Svarog runestone|Rune svarog lesser schematic
Ofieri scale armor|Crafted Ofir Armor schematic
Svarog runestone|Rune svarog schematic
Greater Svarog runestone|Rune svarog greater schematic
Lesser Veles runestone|Rune veles lesser schematic
Ofieri boots|Crafted Ofir Boots schematic
Veles runestone|Rune veles schematic
Greater Veles runestone|Rune veles greater schematic
Lesser Perun runestone|Rune perun lesser schematic
Ofieri gauntlets|Crafted Ofir Gloves schematic
Perun runestone|Rune perun schematic
Greater Perun runestone|Rune perun greater schematic
Lesser Chernobog runestone|Rune elemental lesser schematic
Ofieri sharovary|Crafted Ofir Pants schematic
Chernobog runestone|Rune elemental schematic
Greater Chernobog runestone|Rune elemental greater schematic
Reaver's boots|Heavy Boots 3 schematic
Executioner's boots|Heavy Boots 4 schematic
Feline boots|Lynx Boots schematic
Feline gauntlets|Lynx Gloves schematic
Feline trousers|Lynx Pants schematic
Griffin boots|Gryphon Boots schematic
Griffin gauntlets|Gryphon Gloves schematic
Griffin trousers|Gryphon Pants schematic
Ursine boots|Bear Boots schematic
Ursine gauntlets|Bear Gloves schematic
Ursine trousers|Bear Pants schematic
Wolven boots|Wolf Boots schematic
Wolven gauntlets|Wolf Gloves schematic
Wolven trousers|Wolf Pants schematic
Skellige gambeson|Light Armor 2 schematic
Kaedweni gambeson|Light Armor 3 schematic
Spikeroog aketon|Light Armor 4 schematic
Shiadhal's armor|Light Armor 5 schematic
Verden archer's gambeson|Light Armor 6 schematic
Bounty hunter's gambeson|Light Armor 7 schematic
Ard Skellig aketon|Light Armor 8 schematic
Salmian brigandine|Medium Armor 1 schematic
Cidarian cavalry armor|Medium Armor 2 schematic
Redanian halberdier's armor|Medium Armor 3 schematic
Angrenian cuirass|Medium Armor 4 schematic
Mag Deira cuirass|Heavy Armor 1 schematic
Ban Ard breastplate|Heavy Armor 2 schematic
Nilfgaardian guardsman armor|Heavy Armor 3 schematic
Hindarsfjall heavy armor|Heavy Armor 4 schematic
Bodkin bolt|Bodkin Bolt schematic
Tracking bolt|Tracking Bolt schematic
Bait bolt|Bait Bolt schematic
Blunt crossbow bolt|Blunt Bolt schematic
Broadhead bolt|Broadhead Bolt schematic
Precision bolt|Target Point Bolt schematic
Split bolt|Split Bolt schematic
Exploding bolt|Explosive Bolt schematic
Mastercrafted Feline boots|Witcher Lynx Boots Upgrade schematic 3
Mastercrafted Feline trousers|Witcher Lynx Pants Upgrade schematic 3
Mastercrafted Feline gauntlets|Witcher Lynx Gloves Upgrade schematic 3
Superior Feline boots|Witcher Lynx Boots Upgrade schematic 2
Superior Feline trousers|Witcher Lynx Pants Upgrade schematic 2
Superior Feline gauntlets|Witcher Lynx Gloves Upgrade schematic 2
Feline silver sword - enhanced|Lynx School silver sword Upgrade schematic 1
Arbitrator|Arbitrator schematic
Longclaw|Longclaw schematic
Beann'shie|Beannshie schematic
Black Unicorn|Blackunicorn schematic
Harpy|Harpy schematic
Negotiator|Negotiator schematic
Weeper|Weeper schematic
Thyssen armor|Thyssen Armor schematic
Impera Brigade armor|Relic Heavy 3 schematic
